epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.692227,0.670470,0.532911,0.651892,0.00002002
2,0.631299,0.534835,0.667491,0.737297,0.00004002
3,0.522889,0.446997,0.756644,0.809730,0.00006002
4,0.455206,0.378026,0.813504,0.846486,0.00008002
5,0.413055,0.384167,0.833436,0.825946,0.00010000
6,0.371466,0.349142,0.864184,0.857297,0.00009998
7,0.352546,0.353467,0.873918,0.844324,0.00009990
8,0.320257,0.458210,0.895705,0.792432,0.00009978
9,0.301799,0.200239,0.909765,0.928649,0.00009961
10,0.288939,0.194857,0.913782,0.925405,0.00009939
11,0.260298,0.170263,0.933096,0.940541,0.00009912
12,0.252307,0.182993,0.938504,0.931892,0.00009880
13,0.240172,0.281066,0.942213,0.875676,0.00009843
14,0.239150,0.173971,0.946539,0.928649,0.00009802
15,0.225462,0.158994,0.955655,0.941622,0.00009756
16,0.217376,0.159178,0.958900,0.939459,0.00009706
17,0.216769,0.151621,0.960445,0.943784,0.00009650
18,0.212294,0.182710,0.962145,0.931892,0.00009591
19,0.203718,0.143762,0.966007,0.947027,0.00009526
20,0.202950,0.131600,0.967089,0.961081,0.00009458
21,0.201134,0.130088,0.968480,0.954595,0.00009385
22,0.203411,0.127525,0.966625,0.952432,0.00009307
23,0.192681,0.142213,0.972806,0.951351,0.00009226
24,0.187842,0.118337,0.976360,0.962162,0.00009141
25,0.189100,0.112769,0.976514,0.968649,0.00009051
