epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.631523,0.390009,0.640142,0.840000,0.00008012
2,0.377445,0.260045,0.854604,0.886486,0.00009978
3,0.303824,0.284529,0.902812,0.875676,0.00009880
4,0.265874,0.195541,0.928925,0.925405,0.00009705
5,0.242506,0.177518,0.940204,0.925405,0.00009458
6,0.222181,0.135621,0.954574,0.949189,0.00009140
7,0.205908,0.129383,0.965389,0.950270,0.00008760
8,0.201583,0.130665,0.966625,0.948108,0.00008322
9,0.186395,0.114965,0.977750,0.961081,0.00007835
10,0.182458,0.113469,0.979141,0.969730,0.00007308
11,0.174490,0.137119,0.983313,0.948108,0.00006748
12,0.174871,0.097401,0.984085,0.974054,0.00006167
13,0.169318,0.095758,0.986248,0.970811,0.00005574
14,0.163842,0.108566,0.988721,0.965405,0.00004980
15,0.162209,0.094756,0.990111,0.972973,0.00004395
16,0.159344,0.089255,0.991811,0.977297,0.00003830
17,0.157214,0.084617,0.993356,0.982703,0.00003293
18,0.154605,0.088602,0.993356,0.978378,0.00002795
19,0.153073,0.085626,0.994283,0.978378,0.00002344
20,0.151516,0.085565,0.996137,0.981622,0.00001949
21,0.149953,0.084080,0.994747,0.977297,0.00001615
22,0.148813,0.082987,0.995674,0.980541,0.00001350
23,0.147916,0.082792,0.996755,0.978378,0.00001157
24,0.147164,0.089370,0.996910,0.977297,0.00001039
25,0.147726,0.082679,0.995983,0.979459,0.00001000
