epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.628875,0.512790,0.646941,0.751351,0.00008012
2,0.471041,0.400773,0.796199,0.834595,0.00009978
3,0.410135,0.344899,0.840853,0.859459,0.00009880
4,0.351321,0.310305,0.876854,0.870270,0.00009705
5,0.325957,0.256113,0.893850,0.892973,0.00009458
6,0.305929,0.276810,0.908838,0.881081,0.00009140
7,0.280302,0.208935,0.920890,0.918919,0.00008760
8,0.269850,0.200602,0.928461,0.936216,0.00008322
9,0.253640,0.219842,0.938041,0.915676,0.00007835
10,0.237709,0.170175,0.946848,0.936216,0.00007308
11,0.227716,0.175317,0.954419,0.942703,0.00006748
12,0.220028,0.150783,0.957664,0.950270,0.00006167
13,0.209707,0.150296,0.963226,0.952432,0.00005574
14,0.204421,0.149068,0.968480,0.949189,0.00004980
15,0.197003,0.149027,0.968943,0.943784,0.00004395
16,0.192496,0.133112,0.972651,0.953514,0.00003830
17,0.186286,0.139520,0.977287,0.948108,0.00003293
18,0.181394,0.167057,0.980068,0.931892,0.00002795
19,0.178832,0.139301,0.982386,0.955676,0.00002344
20,0.175203,0.135529,0.983004,0.951351,0.00001949
21,0.173310,0.130066,0.986094,0.954595,0.00001615
22,0.170754,0.127338,0.987330,0.955676,0.00001350
23,0.168707,0.124122,0.987176,0.953514,0.00001157
24,0.168864,0.125319,0.987021,0.954595,0.00001039
25,0.168021,0.128712,0.988257,0.954595,0.00001000
