epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.647327,0.477643,0.614802,0.791351,0.00008012
2,0.487340,0.402158,0.790328,0.836757,0.00009978
3,0.410702,0.341202,0.843325,0.847568,0.00009880
4,0.362258,0.284175,0.871910,0.891892,0.00009705
5,0.325080,0.270289,0.898177,0.902703,0.00009458
6,0.296421,0.249195,0.913319,0.908108,0.00009140
7,0.276079,0.222267,0.922126,0.923243,0.00008760
8,0.261819,0.213233,0.932478,0.918919,0.00008322
9,0.251409,0.188391,0.939740,0.920000,0.00007835
10,0.236144,0.278291,0.949938,0.880000,0.00007308
11,0.222625,0.187189,0.956582,0.936216,0.00006748
12,0.220586,0.156528,0.958591,0.947027,0.00006167
13,0.209550,0.180598,0.962299,0.935135,0.00005574
14,0.204195,0.152321,0.967862,0.949189,0.00004980
15,0.197960,0.148284,0.970025,0.948108,0.00004395
16,0.192763,0.153490,0.974660,0.945946,0.00003830
17,0.187254,0.162555,0.978214,0.938378,0.00003293
18,0.183479,0.143248,0.977596,0.952432,0.00002795
19,0.180710,0.143025,0.979759,0.953514,0.00002344
20,0.177426,0.138927,0.982695,0.955676,0.00001949
21,0.174278,0.137642,0.984240,0.954595,0.00001615
22,0.174565,0.135615,0.984549,0.960000,0.00001350
23,0.171974,0.137808,0.984085,0.954595,0.00001157
24,0.171119,0.133050,0.986867,0.956757,0.00001039
25,0.168841,0.131985,0.986403,0.960000,0.00001000
