epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.677485,0.614544,0.559642,0.682162,0.00008012
2,0.548467,0.449639,0.739339,0.800000,0.00009978
3,0.439955,0.352265,0.824938,0.855135,0.00009880
4,0.390231,0.319476,0.862485,0.875676,0.00009705
5,0.352898,0.300435,0.881644,0.874595,0.00009458
6,0.326062,0.223370,0.899104,0.916757,0.00009140
7,0.307983,0.247491,0.908684,0.900541,0.00008760
8,0.293633,0.204853,0.915328,0.930811,0.00008322
9,0.269339,0.205092,0.929234,0.916757,0.00007835
10,0.265811,0.214698,0.932324,0.918919,0.00007308
11,0.250179,0.174452,0.939895,0.939459,0.00006748
12,0.240514,0.219650,0.945148,0.911351,0.00006167
13,0.231436,0.173366,0.950402,0.945946,0.00005574
14,0.226039,0.186247,0.954265,0.927568,0.00004980
15,0.212862,0.180280,0.959827,0.939459,0.00004395
16,0.210615,0.145901,0.963226,0.952432,0.00003830
17,0.202642,0.151906,0.969098,0.954595,0.00003293
18,0.198213,0.150118,0.972188,0.953514,0.00002795
19,0.195040,0.147728,0.973424,0.953514,0.00002344
20,0.191201,0.146231,0.973733,0.954595,0.00001949
21,0.186194,0.138486,0.978214,0.956757,0.00001615
22,0.186005,0.141352,0.977750,0.954595,0.00001350
23,0.183466,0.136474,0.978677,0.956757,0.00001157
24,0.181290,0.132080,0.980068,0.957838,0.00001039
25,0.180987,0.133133,0.980068,0.956757,0.00001000
