s_id,pearson_corr
1,0.05676449386322713
2,-0.0001247775255267345
3,0.048573456541563316
4,-0.010078573388291542
5,-0.03081151642569962
6,-0.0352711740783791
7,0.06912066249105846
8,0.012194902176614363
9,0.03837768708701214
10,0.02839019344667708
11,-0.04406510847326856
12,0.008095154294193737
13,-0.002610761144175236
14,0.001678037089012296
15,0.04611206460662821
16,0.008827314459566037
17,-0.02567561901743507
18,-0.002557028956198389
