subject,val_acc,val_auc,test_acc,test_auc
1,0.99984375,1.0,0.999765625,0.9999995520390733
2,0.9984375,0.9999893523233182,0.998515625,0.9999921741305523
3,0.88390625,0.9575532126224093,0.8925,0.9605293035535963
4,0.99828125,0.9999510652360056,0.998046875,0.9999591991174303
5,0.9953125,0.9999303801741913,0.99734375,0.9999604787535366
6,0.99890625,0.9999641064880682,0.99859375,0.9999858233004415
7,0.989375,0.9991329794473934,0.98875,0.9993210183389455
8,0.99828125,0.9999695939176315,0.9984375,0.9999841841047493
9,0.99578125,0.9998485313369334,0.994375,0.9998136623412125
10,0.99859375,0.999985626036164,0.998046875,0.9999747442295406
11,0.99953125,0.9999977973645908,0.998515625,0.999964569912883
12,0.99734375,0.9999620111845322,0.996171875,0.9998878417119493
13,0.99703125,0.9999239588178037,0.9965625,0.9998833244777772
14,0.99890625,0.9999948241196805,0.99875,0.9999498403485065
15,0.99796875,0.9999399569418268,0.996640625,0.9999145783293096
16,0.9871875,0.999117236328125,0.985859375,0.9991262084107626
17,0.99796875,0.9999399569418268,0.996640625,0.9999145783293096
18,0.99984375,1.0,0.999765625,0.9999995520390733
