epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.675177,0.677252,0.597550,0.589382,0.00006015
2,0.662152,0.674744,0.615540,0.580715,0.00012015
3,0.656651,0.679620,0.615850,0.589382,0.00018015
4,0.638693,0.665399,0.641439,0.593716,0.00024015
5,0.616578,0.689554,0.657103,0.608884,0.00030000
6,0.581258,0.738051,0.695409,0.616468,0.00029993
7,0.540722,0.644565,0.723325,0.626219,0.00029970
8,0.511899,0.623175,0.742866,0.669556,0.00029934
9,0.468259,0.682023,0.766749,0.641387,0.00029882
10,0.441183,0.687161,0.789237,0.632719,0.00029816
11,0.390280,0.693401,0.818548,0.673889,0.00029735
12,0.349828,0.744588,0.844603,0.659805,0.00029640
13,0.316227,0.902812,0.860267,0.665222,0.00029530
14,0.272261,1.004025,0.883840,0.665222,0.00029406
15,0.234960,1.117189,0.901675,0.684724,0.00029269
16,0.215171,1.243946,0.914237,0.678223,0.00029117
17,0.180950,1.175561,0.930521,0.690141,0.00028951
18,0.161683,1.700049,0.941067,0.670639,0.00028772
19,0.156517,1.209199,0.943859,0.704225,0.00028579
20,0.135918,1.163697,0.950372,0.697725,0.00028373
21,0.125275,1.754632,0.959367,0.695558,0.00028154
22,0.132796,1.620201,0.962004,0.697725,0.00027922
23,0.104661,1.864279,0.965416,0.700975,0.00027678
24,0.108367,2.113345,0.967742,0.711809,0.00027422
25,0.087496,2.652145,0.973325,0.715060,0.00027153
26,0.092164,2.815932,0.973635,0.705309,0.00026873
27,0.087168,2.224036,0.977823,0.712893,0.00026582
28,0.101168,2.068301,0.972860,0.725894,0.00026280
29,0.074728,2.448387,0.979218,0.702059,0.00025967
30,0.074726,2.725257,0.980304,0.711809,0.00025643
31,0.082665,2.611550,0.979373,0.711809,0.00025310
32,0.067600,2.577255,0.981855,0.711809,0.00024967
33,0.069651,2.525134,0.983251,0.725894,0.00024615
34,0.064301,2.815485,0.981700,0.709642,0.00024253
35,0.060133,2.561281,0.987128,0.724810,0.00023884
36,0.051983,3.176603,0.985422,0.723727,0.00023506
37,0.062905,2.957032,0.986197,0.724810,0.00023121
38,0.056665,2.712607,0.984801,0.723727,0.00022728
