epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.671812,0.652166,0.578784,0.624052,0.00006015
2,0.661384,0.646366,0.616470,0.624052,0.00012015
3,0.655314,0.648092,0.620658,0.629469,0.00018015
4,0.647083,0.646876,0.629187,0.645720,0.00024015
5,0.633691,0.620654,0.648728,0.665222,0.00030000
6,0.619607,0.607773,0.660360,0.700975,0.00029993
7,0.590492,0.596180,0.685329,0.657638,0.00029970
8,0.568048,0.630554,0.707506,0.664139,0.00029934
9,0.528186,0.618704,0.735422,0.689057,0.00029882
10,0.490888,0.601407,0.763027,0.686891,0.00029816
11,0.433221,0.598291,0.797146,0.703142,0.00029735
12,0.380365,0.616131,0.828164,0.724810,0.00029640
13,0.341031,0.602036,0.854529,0.736728,0.00029530
14,0.281541,0.667544,0.880273,0.724810,0.00029406
15,0.252975,0.916735,0.894231,0.686891,0.00029269
16,0.210216,0.971938,0.924473,0.704225,0.00029117
17,0.194793,1.048175,0.925868,0.722644,0.00028951
18,0.170982,1.014207,0.937810,0.700975,0.00028772
19,0.146001,1.068357,0.948201,0.720477,0.00028579
20,0.132385,1.260346,0.954715,0.724810,0.00028373
21,0.112653,1.526879,0.959522,0.744312,0.00028154
22,0.113079,1.516916,0.963555,0.735645,0.00027922
23,0.111244,1.435685,0.966967,0.756230,0.00027678
24,0.104856,1.956482,0.969758,0.747562,0.00027422
25,0.098239,1.881494,0.973635,0.731311,0.00027153
26,0.083906,1.907798,0.975031,0.735645,0.00026873
27,0.096692,1.767727,0.976272,0.760563,0.00026582
28,0.083830,2.104362,0.976582,0.733478,0.00026280
29,0.084246,2.273974,0.978753,0.724810,0.00025967
30,0.082173,1.912493,0.976737,0.733478,0.00025643
31,0.062079,2.058984,0.982165,0.758397,0.00025310
32,0.052744,2.328681,0.985887,0.763814,0.00024967
33,0.083126,2.171669,0.980924,0.761647,0.00024615
34,0.067702,2.547875,0.985422,0.731311,0.00024253
35,0.061597,2.269637,0.983871,0.763814,0.00023884
36,0.066557,2.010402,0.985267,0.771398,0.00023506
37,0.056309,2.313674,0.986663,0.767064,0.00023121
