epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.691785,0.687813,0.527605,0.548212,0.00006015
2,0.684951,0.697655,0.553660,0.526544,0.00012015
3,0.677642,0.674849,0.580800,0.593716,0.00018015
4,0.663179,0.672616,0.601427,0.585049,0.00024015
5,0.643179,0.653079,0.624225,0.621885,0.00030000
6,0.621197,0.735211,0.654311,0.547129,0.00029993
7,0.589864,0.661565,0.678040,0.622969,0.00029970
8,0.553384,0.671961,0.713244,0.627302,0.00029934
9,0.511229,0.663372,0.745502,0.635970,0.00029882
10,0.463833,0.742951,0.775279,0.625135,0.00029816
11,0.409109,0.841401,0.808468,0.665222,0.00029735
12,0.367401,0.799485,0.832196,0.660888,0.00029640
13,0.314530,0.933457,0.863989,0.660888,0.00029530
14,0.257081,1.131928,0.893610,0.659805,0.00029406
15,0.235691,0.937876,0.903381,0.686891,0.00029269
16,0.197515,1.111917,0.921216,0.683640,0.00029117
17,0.172416,1.280120,0.933623,0.673889,0.00028951
18,0.161016,1.602049,0.941067,0.687974,0.00028772
19,0.149774,1.549671,0.950217,0.671723,0.00028579
20,0.120797,1.695050,0.961073,0.687974,0.00028373
21,0.107429,1.996739,0.966656,0.687974,0.00028154
22,0.126795,1.958214,0.964330,0.695558,0.00027922
23,0.102899,2.784562,0.970378,0.690141,0.00027678
24,0.112933,2.177345,0.970689,0.698808,0.00027422
25,0.116440,2.331167,0.966967,0.703142,0.00027153
26,0.083587,2.413202,0.976892,0.702059,0.00026873
27,0.088261,2.694267,0.975496,0.706392,0.00026582
28,0.093300,2.646487,0.975651,0.694475,0.00026280
29,0.074353,2.633152,0.982165,0.708559,0.00025967
30,0.100456,3.008266,0.978443,0.721560,0.00025643
31,0.082673,2.984947,0.979063,0.716143,0.00025310
32,0.074048,2.816722,0.983251,0.704225,0.00024967
33,0.083987,2.416574,0.977823,0.728061,0.00024615
34,0.077296,2.743167,0.979063,0.693391,0.00024253
35,0.045328,3.045251,0.989609,0.710726,0.00023884
