subject,val_acc,val_auc,test_acc,test_auc
1,0.9416666666666667,0.9931798806479113,0.8375,0.9387254901960784
2,0.9833333333333333,0.9986095661846496,0.9166666666666666,0.9836458333333333
3,0.8666666666666667,0.9541015625,0.8625,0.9229352057842047
4,0.95,0.9934954751131221,0.9375,0.9872395645591522
5,0.6833333333333333,0.7258423837371206,0.7625,0.7994871429589002
6,0.8,0.8707579185520362,0.7583333333333333,0.8500808095003866
7,0.8833333333333333,0.9462222222222223,0.8541666666666666,0.9184392066685829
8,0.9166666666666666,0.9875555555555555,0.9125,0.966484268125855
9,0.5583333333333333,0.6365406006674081,0.625,0.7149387003047267
10,0.8416666666666667,0.9103069557871023,0.8,0.8685091530735809
11,0.8833333333333333,0.9242857142857143,0.825,0.9176507363156432
12,0.8833333333333333,0.9688109161793372,0.8541666666666666,0.9401917199222006
13,0.8583333333333333,0.9137683242311009,0.8333333333333334,0.9040075231481481
14,0.925,0.9712401795735129,0.8666666666666667,0.9314045568213394
15,0.9666666666666667,0.9928189242466912,0.9083333333333333,0.9633156966490298
16,0.8166666666666667,0.898,0.7541666666666667,0.8620689655172413
17,0.8166666666666667,0.8761294083357621,0.7083333333333334,0.7927503366168238
18,1.0,1.0,0.9583333333333334,0.994
