epoch,train_loss,val_loss,train_r,val_r
1,0.902333,0.883352,0.018007,0.039429
2,0.862592,0.867399,0.063979,0.055621
3,0.832437,0.839922,0.103177,0.092648
4,0.818600,0.844110,0.121762,0.086496
5,0.797646,0.819092,0.150288,0.120566
6,0.789859,0.817740,0.161043,0.122638
7,0.774166,0.800127,0.182439,0.145959
8,0.763595,0.802247,0.196909,0.143602
9,0.764774,0.793619,0.195688,0.154442
10,0.748024,0.776878,0.218595,0.178377
11,0.739319,0.766027,0.231285,0.193807
12,0.732678,0.769069,0.240157,0.188907
13,0.722873,0.762105,0.254266,0.198949
14,0.714852,0.755120,0.265526,0.208885
15,0.718148,0.755814,0.260715,0.207716
16,0.706618,0.736860,0.276802,0.234924
17,0.704483,0.738650,0.279784,0.232375
18,0.695163,0.747015,0.293019,0.220118
19,0.696388,0.727726,0.290960,0.247400
20,0.686496,0.721082,0.305386,0.257108
21,0.679753,0.730805,0.314247,0.243196
22,0.684499,0.722188,0.307986,0.255476
23,0.672777,0.720632,0.324325,0.257589
24,0.677864,0.714807,0.316937,0.265502
25,0.665638,0.704150,0.334422,0.280588
26,0.667531,0.716798,0.331411,0.262870
27,0.662144,0.708946,0.339230,0.273942
28,0.658317,0.702770,0.344514,0.282442
29,0.652443,0.713674,0.352594,0.267645
30,0.652232,0.708425,0.353270,0.274435
31,0.648843,0.693601,0.357710,0.295535
32,0.646572,0.682813,0.360564,0.310526
33,0.638529,0.676517,0.372153,0.319554
34,0.634573,0.680273,0.377438,0.313631
35,0.637804,0.681064,0.373070,0.313362
36,0.633848,0.681121,0.378538,0.312477
37,0.628403,0.673335,0.385966,0.323607
38,0.627704,0.676268,0.386675,0.319799
39,0.628309,0.675386,0.385939,0.319681
40,0.617936,0.674201,0.400564,0.322281
41,0.622679,0.681149,0.393264,0.311780
42,0.625299,0.659688,0.389537,0.342663
43,0.620794,0.658312,0.395922,0.344215
44,0.615186,0.643132,0.403856,0.365554
45,0.608216,0.653171,0.413380,0.350975
46,0.602647,0.655893,0.420959,0.347141
47,0.602290,0.664669,0.421645,0.334608
48,0.606728,0.650241,0.414528,0.354814
49,0.602847,0.640284,0.420040,0.368155
50,0.592207,0.643486,0.434826,0.363470
51,0.593640,0.636918,0.432852,0.372407
52,0.592594,0.640920,0.433477,0.367214
53,0.588156,0.627311,0.439867,0.385650
54,0.592055,0.628697,0.433984,0.384237
55,0.580222,0.622924,0.450296,0.391560
56,0.574715,0.623786,0.457329,0.389585
57,0.575077,0.624042,0.457033,0.389554
58,0.576961,0.618111,0.454081,0.397568
59,0.566575,0.623006,0.468574,0.390960
60,0.569252,0.618079,0.464534,0.397160
61,0.568388,0.622377,0.465644,0.390636
62,0.565061,0.614134,0.469740,0.402420
63,0.565412,0.601485,0.469245,0.419200
64,0.559999,0.606309,0.476255,0.412692
65,0.556821,0.591601,0.480074,0.432440
66,0.554430,0.596967,0.483233,0.424856
67,0.550230,0.598650,0.488603,0.422125
68,0.550247,0.607963,0.488930,0.408017
69,0.544210,0.600662,0.495976,0.418945
70,0.542213,0.594344,0.498313,0.427753
71,0.544412,0.596383,0.495400,0.424625
72,0.547425,0.584390,0.490514,0.440113
73,0.546833,0.588615,0.491610,0.434288
74,0.545267,0.587730,0.493213,0.434998
75,0.530785,0.577262,0.513412,0.449120
76,0.531584,0.569229,0.510731,0.459179
77,0.521142,0.575924,0.524916,0.449805
78,0.521644,0.573676,0.523086,0.452416
79,0.515119,0.564663,0.531886,0.464294
80,0.505517,0.566147,0.544618,0.461716
81,0.509786,0.559599,0.539399,0.469180
82,0.504448,0.549894,0.545235,0.484223
83,0.504019,0.559297,0.545053,0.470624
84,0.503879,0.568005,0.544873,0.457002
85,0.499910,0.552461,0.549373,0.478567
86,0.498802,0.551225,0.550889,0.479071
87,0.498785,0.546766,0.549498,0.485799
88,0.490727,0.544479,0.560010,0.487239
89,0.490049,0.532715,0.560514,0.501789
90,0.481567,0.541553,0.570180,0.490819
91,0.481358,0.542309,0.570975,0.487758
92,0.477361,0.536999,0.575461,0.494266
93,0.469828,0.524580,0.584750,0.509582
94,0.465351,0.524849,0.588447,0.510184
95,0.465447,0.521323,0.588319,0.514948
96,0.459758,0.508277,0.595600,0.530819
97,0.460081,0.521719,0.593385,0.511708
98,0.455055,0.512563,0.599863,0.523910
99,0.455318,0.516455,0.597820,0.517557
100,0.458342,0.513678,0.593714,0.520281
