epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.626059,0.601627,0.687191,0.708108,0.00006030
2,0.618426,0.595818,0.686572,0.708108,0.00012030
3,0.610307,0.592578,0.687655,0.707027,0.00018030
4,0.603014,0.596338,0.687191,0.700541,0.00024030
5,0.586864,0.576161,0.695854,0.705946,0.00030000
6,0.577038,0.587830,0.703589,0.698378,0.00029993
7,0.560684,0.547753,0.714573,0.736216,0.00029970
8,0.537271,0.519926,0.729889,0.743784,0.00029934
9,0.520103,0.499724,0.740099,0.760000,0.00029882
10,0.508782,0.505596,0.747525,0.756757,0.00029816
11,0.493021,0.502147,0.763150,0.750270,0.00029735
12,0.481450,0.504118,0.769957,0.760000,0.00029640
13,0.477638,0.492138,0.768410,0.772973,0.00029530
14,0.464491,0.493263,0.782178,0.760000,0.00029406
15,0.464668,0.509953,0.781250,0.748108,0.00029269
16,0.446259,0.488956,0.790223,0.772973,0.00029117
17,0.440942,0.514826,0.789140,0.740541,0.00028951
18,0.434097,0.580890,0.798422,0.707027,0.00028772
19,0.429995,0.510286,0.803063,0.747027,0.00028579
20,0.421382,0.498534,0.806467,0.756757,0.00028373
21,0.409219,0.485756,0.818688,0.776216,0.00028154
22,0.414265,0.489660,0.808632,0.771892,0.00027922
23,0.401844,0.472622,0.818688,0.780541,0.00027678
24,0.387846,0.497546,0.824103,0.784865,0.00027422
25,0.382527,0.485470,0.826887,0.784865,0.00027153
26,0.371588,0.534172,0.830755,0.739459,0.00026873
27,0.367920,0.516045,0.837717,0.779459,0.00026582
28,0.358192,0.482106,0.842203,0.776216,0.00026280
29,0.350334,0.512724,0.841739,0.776216,0.00025967
30,0.347949,0.502844,0.848391,0.793514,0.00025643
31,0.343849,0.509754,0.849474,0.770811,0.00025310
32,0.335568,0.510124,0.852877,0.785946,0.00024967
33,0.315356,0.497173,0.860303,0.780541,0.00024615
34,0.313066,0.510569,0.866955,0.794595,0.00024253
35,0.300244,0.535090,0.867729,0.777297,0.00023884
36,0.297300,0.517717,0.873917,0.770811,0.00023506
37,0.296039,0.616248,0.876238,0.738378,0.00023121
38,0.286358,0.530195,0.877630,0.787027,0.00022728
39,0.272693,0.535700,0.884746,0.776216,0.00022329
40,0.278709,0.539454,0.879177,0.768649,0.00021923
41,0.261567,0.576503,0.891553,0.779459,0.00021511
42,0.248916,0.547019,0.892791,0.789189,0.00021094
43,0.238693,0.547227,0.901300,0.776216,0.00020672
44,0.227356,0.592577,0.902692,0.791351,0.00020245
45,0.227012,0.556959,0.906095,0.797838,0.00019814
46,0.226670,0.561782,0.905012,0.796757,0.00019380
47,0.199780,0.581899,0.918781,0.784865,0.00018942
48,0.203466,0.598355,0.921256,0.796757,0.00018502
49,0.188551,0.602976,0.921720,0.797838,0.00018059
50,0.172792,0.670289,0.926825,0.778378,0.00017615
51,0.173685,0.619950,0.930848,0.795676,0.00017169
52,0.167702,0.660725,0.932704,0.800000,0.00016723
53,0.151812,0.643531,0.941058,0.792432,0.00016277
54,0.146666,0.619591,0.941986,0.800000,0.00015831
55,0.139959,0.696468,0.943688,0.779459,0.00015385
56,0.132972,0.671188,0.947865,0.792432,0.00014941
57,0.135334,0.729143,0.947710,0.798919,0.00014498
58,0.117329,0.693631,0.952506,0.802162,0.00014058
59,0.106349,0.746514,0.959158,0.787027,0.00013620
60,0.117209,0.744896,0.953589,0.778378,0.00013186
61,0.100148,0.749918,0.961943,0.807568,0.00012755
62,0.096346,0.748074,0.962407,0.803243,0.00012328
63,0.088909,0.854172,0.966584,0.778378,0.00011906
64,0.091987,0.868741,0.965965,0.783784,0.00011489
65,0.081430,0.905138,0.969059,0.807568,0.00011077
66,0.067459,0.890266,0.975093,0.807568,0.00010671
67,0.072951,0.844735,0.970916,0.806486,0.00010272
68,0.065484,0.843612,0.974629,0.806486,0.00009879
69,0.064107,0.881863,0.975402,0.804324,0.00009494
70,0.058872,0.895724,0.978960,0.785946,0.00009116
71,0.058357,0.903032,0.979115,0.804324,0.00008747
72,0.046510,0.893065,0.982054,0.810811,0.00008385
73,0.047006,0.937234,0.981900,0.821622,0.00008033
