epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.641416,0.613406,0.607656,0.625000,0.00006029
2,0.629678,0.790737,0.683014,0.691667,0.00012029
3,0.647871,0.651467,0.691388,0.650000,0.00018029
4,0.613758,0.585680,0.677033,0.708333,0.00024029
5,0.557896,0.545167,0.715311,0.750000,0.00030000
6,0.459859,0.622973,0.794258,0.716667,0.00029993
7,0.461211,0.476724,0.801435,0.733333,0.00029970
8,0.415232,0.462887,0.812201,0.758333,0.00029934
9,0.381407,0.576750,0.830144,0.758333,0.00029882
10,0.405816,0.444751,0.827751,0.808333,0.00029816
11,0.398885,0.507520,0.827751,0.791667,0.00029735
12,0.391883,0.784738,0.843301,0.758333,0.00029640
13,0.409007,0.512118,0.846890,0.808333,0.00029530
14,0.401248,0.499087,0.854067,0.825000,0.00029406
15,0.415108,0.540636,0.845694,0.808333,0.00029269
16,0.366201,0.472429,0.868421,0.816667,0.00029117
17,0.343530,0.440236,0.882775,0.833333,0.00028951
18,0.361893,0.532419,0.883971,0.833333,0.00028772
19,0.351248,0.529772,0.887560,0.833333,0.00028579
20,0.367855,0.470665,0.881579,0.825000,0.00028373
21,0.311036,0.570376,0.903110,0.800000,0.00028154
22,0.345016,0.662971,0.916268,0.816667,0.00027922
23,0.279728,0.631361,0.916268,0.825000,0.00027678
24,0.252465,0.704094,0.947368,0.866667,0.00027422
25,0.285077,0.657438,0.931818,0.850000,0.00027153
26,0.212030,0.676130,0.950957,0.883333,0.00026873
27,0.233269,0.876676,0.944976,0.858333,0.00026582
28,0.205309,0.670518,0.962919,0.858333,0.00026280
29,0.181660,0.876422,0.964115,0.858333,0.00025967
30,0.158200,0.799409,0.967703,0.850000,0.00025643
31,0.159609,1.159548,0.970096,0.850000,0.00025310
32,0.159435,1.095373,0.967703,0.866667,0.00024967
33,0.129810,0.823999,0.976077,0.900000,0.00024615
34,0.127865,0.943329,0.976077,0.891667,0.00024253
35,0.152854,1.126826,0.972488,0.850000,0.00023884
36,0.139470,1.224104,0.971292,0.866667,0.00023506
37,0.123723,1.239228,0.979665,0.850000,0.00023121
38,0.083829,1.356540,0.983254,0.866667,0.00022728
39,0.064503,1.425496,0.983254,0.866667,0.00022329
40,0.098828,1.579355,0.979665,0.833333,0.00021923
41,0.098102,1.223794,0.980861,0.891667,0.00021511
42,0.045095,1.280896,0.983254,0.866667,0.00021094
43,0.051871,1.345344,0.986842,0.808333,0.00020672
44,0.041919,1.378791,0.986842,0.883333,0.00020245
45,0.035984,1.928341,0.990431,0.850000,0.00019814
46,0.026072,1.832798,0.990431,0.866667,0.00019380
47,0.044536,1.914177,0.988038,0.858333,0.00018942
48,0.076847,1.787277,0.983254,0.858333,0.00018502
49,0.025740,1.996701,0.995215,0.883333,0.00018059
50,0.025485,1.784532,0.994019,0.875000,0.00017615
51,0.014926,2.178506,0.995215,0.883333,0.00017169
52,0.036034,1.862800,0.990431,0.841667,0.00016723
53,0.022808,2.382271,0.992823,0.841667,0.00016277
54,0.041294,1.695284,0.992823,0.883333,0.00015831
55,0.022237,2.454744,0.992823,0.866667,0.00015385
56,0.009287,2.485050,0.997608,0.858333,0.00014941
57,0.007215,3.022436,0.997608,0.866667,0.00014498
58,0.009342,2.097027,0.997608,0.875000,0.00014058
59,0.003369,1.938833,0.997608,0.883333,0.00013620
60,0.017850,2.844844,0.994019,0.850000,0.00013186
61,0.018950,2.905116,0.995215,0.875000,0.00012755
62,0.007356,2.768997,0.997608,0.816667,0.00012328
63,0.014157,2.197917,0.997608,0.891667,0.00011906
64,0.011096,2.527984,0.996411,0.891667,0.00011489
65,0.007905,2.408952,0.998804,0.883333,0.00011077
66,0.008300,3.137569,0.996411,0.891667,0.00010671
67,0.003692,2.597579,0.998804,0.883333,0.00010272
