epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.681394,0.766645,0.561005,0.483333,0.00006029
2,0.662574,0.793523,0.623206,0.483333,0.00012029
3,0.662254,0.671584,0.632775,0.541667,0.00018029
4,0.602135,0.598405,0.674641,0.725000,0.00024029
5,0.478334,0.624606,0.794258,0.708333,0.00030000
6,0.428322,0.710782,0.852871,0.775000,0.00029993
7,0.329451,0.935364,0.888756,0.775000,0.00029970
8,0.238582,0.981812,0.933014,0.833333,0.00029934
9,0.185558,0.865980,0.954545,0.875000,0.00029882
10,0.144021,0.757407,0.971292,0.900000,0.00029816
11,0.032934,1.267423,0.990431,0.858333,0.00029735
12,0.064896,1.211474,0.985646,0.858333,0.00029640
13,0.017398,1.477870,0.996411,0.850000,0.00029530
14,0.028060,1.631047,0.991627,0.875000,0.00029406
15,0.042259,1.728212,0.992823,0.850000,0.00029269
16,0.057566,2.046590,0.991627,0.850000,0.00029117
17,0.010871,2.546069,0.996411,0.841667,0.00028951
18,0.027755,2.371229,0.996411,0.850000,0.00028772
19,0.000081,1.609488,1.000000,0.866667,0.00028579
20,0.032344,1.125430,0.991627,0.866667,0.00028373
21,0.034801,2.127314,0.988038,0.858333,0.00028154
22,0.095172,1.617873,0.984450,0.900000,0.00027922
23,0.105603,1.316774,0.985646,0.883333,0.00027678
24,0.134727,1.458939,0.983254,0.900000,0.00027422
25,0.033331,2.279608,0.995215,0.875000,0.00027153
26,0.036401,1.298292,0.989234,0.883333,0.00026873
27,0.059987,1.455855,0.990431,0.875000,0.00026582
28,0.022862,1.819934,0.995215,0.908333,0.00026280
29,0.000963,1.514322,0.998804,0.875000,0.00025967
30,0.000003,1.378726,1.000000,0.875000,0.00025643
31,0.000000,1.372503,1.000000,0.875000,0.00025310
32,0.000001,1.367185,1.000000,0.875000,0.00024967
33,0.000000,1.358429,1.000000,0.875000,0.00024615
34,0.000000,1.346871,1.000000,0.875000,0.00024253
35,0.000000,1.336759,1.000000,0.875000,0.00023884
36,0.000000,1.332815,1.000000,0.875000,0.00023506
37,0.000000,1.334167,1.000000,0.875000,0.00023121
38,0.000000,1.332062,1.000000,0.875000,0.00022728
39,0.000000,1.317822,1.000000,0.875000,0.00022329
40,0.000000,1.313856,1.000000,0.875000,0.00021923
41,0.000000,1.309492,1.000000,0.875000,0.00021511
42,0.000000,1.311301,1.000000,0.875000,0.00021094
43,0.000000,1.309366,1.000000,0.875000,0.00020672
44,0.000000,1.307945,1.000000,0.875000,0.00020245
45,0.000000,1.303689,1.000000,0.875000,0.00019814
46,0.000000,1.302318,1.000000,0.875000,0.00019380
47,0.000000,1.302836,1.000000,0.875000,0.00018942
48,0.000000,1.299660,1.000000,0.875000,0.00018502
49,0.000000,1.300453,1.000000,0.875000,0.00018059
50,0.000000,1.308744,1.000000,0.875000,0.00017615
51,0.000000,1.306653,1.000000,0.875000,0.00017169
52,0.000000,1.312942,1.000000,0.875000,0.00016723
53,0.000000,1.305275,1.000000,0.875000,0.00016277
54,0.000000,1.305856,1.000000,0.875000,0.00015831
