epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.667929,0.715158,0.641148,0.625000,0.00006029
2,0.653539,0.656951,0.649522,0.625000,0.00012029
3,0.631181,0.648933,0.655502,0.658333,0.00018029
4,0.578897,0.593974,0.700957,0.725000,0.00024029
5,0.492282,0.638150,0.802632,0.733333,0.00030000
6,0.405764,0.504283,0.830144,0.833333,0.00029993
7,0.317731,0.525539,0.875598,0.808333,0.00029970
8,0.251416,0.771253,0.916268,0.833333,0.00029934
9,0.239719,0.547814,0.924641,0.858333,0.00029882
10,0.118497,0.373762,0.964115,0.908333,0.00029816
11,0.073699,0.583567,0.977273,0.900000,0.00029735
12,0.041626,0.440833,0.988038,0.883333,0.00029640
13,0.020970,0.577149,0.995215,0.900000,0.00029530
14,0.017546,0.803865,0.996411,0.875000,0.00029406
15,0.022892,1.001804,0.994019,0.900000,0.00029269
16,0.067316,1.073890,0.983254,0.908333,0.00029117
17,0.033333,0.605304,0.998804,0.900000,0.00028951
18,0.000036,0.539875,1.000000,0.916667,0.00028772
19,0.000005,0.542343,1.000000,0.916667,0.00028579
20,0.000003,0.545807,1.000000,0.908333,0.00028373
21,0.000003,0.549937,1.000000,0.908333,0.00028154
22,0.000003,0.550782,1.000000,0.908333,0.00027922
23,0.000002,0.547124,1.000000,0.925000,0.00027678
24,0.000002,0.559314,1.000000,0.900000,0.00027422
25,0.000002,0.559313,1.000000,0.916667,0.00027153
26,0.000002,0.561700,1.000000,0.908333,0.00026873
27,0.000001,0.559936,1.000000,0.916667,0.00026582
28,0.000001,0.562166,1.000000,0.908333,0.00026280
29,0.000001,0.562283,1.000000,0.916667,0.00025967
30,0.000001,0.560733,1.000000,0.916667,0.00025643
31,0.000001,0.560225,1.000000,0.925000,0.00025310
32,0.000001,0.560840,1.000000,0.916667,0.00024967
33,0.000001,0.566658,1.000000,0.916667,0.00024615
34,0.000001,0.559279,1.000000,0.925000,0.00024253
35,0.000001,0.561906,1.000000,0.925000,0.00023884
36,0.000001,0.566462,1.000000,0.916667,0.00023506
37,0.000001,0.567932,1.000000,0.916667,0.00023121
38,0.000000,0.569481,1.000000,0.916667,0.00022728
39,0.000000,0.571070,1.000000,0.916667,0.00022329
40,0.000000,0.567874,1.000000,0.925000,0.00021923
41,0.000000,0.574251,1.000000,0.908333,0.00021511
42,0.000000,0.572624,1.000000,0.925000,0.00021094
43,0.000000,0.573563,1.000000,0.925000,0.00020672
44,0.000000,0.577073,1.000000,0.916667,0.00020245
45,0.000000,0.573919,1.000000,0.925000,0.00019814
46,0.000000,0.578522,1.000000,0.916667,0.00019380
47,0.000000,0.581806,1.000000,0.925000,0.00018942
48,0.000000,0.578600,1.000000,0.925000,0.00018502
49,0.000000,0.584016,1.000000,0.925000,0.00018059
50,0.000000,0.585095,1.000000,0.925000,0.00017615
51,0.000000,0.584843,1.000000,0.925000,0.00017169
52,0.000000,0.581830,1.000000,0.933333,0.00016723
53,0.000000,0.581954,1.000000,0.933333,0.00016277
54,0.000000,0.589418,1.000000,0.925000,0.00015831
55,0.000000,0.584602,1.000000,0.933333,0.00015385
56,0.000000,0.589753,1.000000,0.933333,0.00014941
57,0.000000,0.589658,1.000000,0.933333,0.00014498
58,0.000000,0.594782,1.000000,0.925000,0.00014058
59,0.000000,0.590494,1.000000,0.933333,0.00013620
60,0.000000,0.597970,1.000000,0.925000,0.00013186
