subject,val_acc,val_auc,test_acc,test_auc
1,96.693242929999997,99.438439134299998,96.52332532234,97.890324234199994
2,97.234234000000001,99.887823462,97.131841202299995,99.249814024390005
3,0.9924324324324324,0.9976066900053497,0.9945916711736074,0.999675888440099
4,0.9535135135135135,0.9912464854732895,0.9567333693888589,0.9924259817174023
5,0.9848648648648649,0.9973612050184057,0.9881016765819362,0.9991998573352668
6,0.9578378378378378,0.9924532372750982,0.9605191995673337,0.9918804529248864
7,0.96,0.9894280876065378,0.9534883720930233,0.9878657475008424
8,0.9578378378378378,0.9901742434167431,0.9399675500270417,0.9848322697734324
9,0.9708108108108108,0.995670590875513,0.9772850189291509,0.9975254301539499
10,0.9827027027027027,0.9982230535422024,0.9718766901027582,0.9974037309521135
11,0.9037837837837838,0.9611508771929824,0.908058409951325,0.964679231308318
12,0.9535135135135135,0.9912297105243475,0.9480800432666306,0.9873136739768752
13,0.9805405405405405,0.998161868406702,0.9848566792861005,0.9987440862027394
