subject,val_acc,val_auc,test_acc,test_auc
1,0.8125677139761647,0.847946127946128,0.794579945799458,0.8174181368636666
2,0.6327193932827736,0.6636367580701145,0.6205962059620597,0.6468051010098569
3,0.8255687973997833,0.8099433304272013,0.829810298102981,0.7798694714131609
4,0.7150595882990249,0.7752272270163105,0.6856368563685636,0.7366307421977187
5,0.7800650054171181,0.7814460412179419,0.7544715447154472,0.7492399795218703
6,0.6153846153846154,0.6696289191069984,0.6119241192411924,0.6576771459197202
7,0.7594799566630552,0.8412402724238071,0.7279132791327914,0.8057501902111407
8,0.6717226435536294,0.6962724972687022,0.6373983739837399,0.6968729932680437
9,0.6511375947995667,0.5922703139069146,0.6542005420054201,0.5938687620510891
10,0.5601300108342362,0.5886270443512278,0.5669376693766938,0.5925899492745076
11,0.6814734561213435,0.7184592473054012,0.6482384823848238,0.7065598711955037
12,0.7085590465872156,0.7912756736385905,0.6959349593495935,0.7802120045737087
13,0.6695557963163596,0.70054710538569,0.6737127371273712,0.7270810463794253
14,0.6576381365113759,0.702209414024976,0.6585365853658537,0.6782816971506782
15,0.6218851570964247,0.649707111780931,0.6384823848238482,0.6731282144484071
16,0.6348862405200434,0.5889816042093425,0.6373983739837399,0.6241167430858624
