epoch,train_loss,val_loss,train_r,val_r
1,0.858354,0.877437,0.007398,0.002157
2,0.831202,0.870122,0.042216,0.006125
3,0.813482,0.854075,0.065189,0.022841
4,0.796228,0.853575,0.085905,0.022876
5,0.765164,0.843019,0.127441,0.037176
6,0.743590,0.836901,0.156537,0.043927
7,0.723694,0.830105,0.183787,0.053385
8,0.704083,0.829622,0.211085,0.054278
9,0.690086,0.826167,0.230532,0.058302
10,0.682681,0.819198,0.240769,0.067765
11,0.665928,0.806190,0.264134,0.085455
12,0.648242,0.799059,0.289057,0.095599
13,0.630877,0.800092,0.313457,0.093815
14,0.630832,0.791047,0.313685,0.107536
15,0.627889,0.786613,0.317649,0.113423
16,0.614350,0.777871,0.336590,0.125693
17,0.595413,0.795433,0.363100,0.101135
18,0.585492,0.765396,0.377173,0.143351
19,0.572476,0.771765,0.395679,0.133705
20,0.577211,0.754386,0.388717,0.158440
21,0.555687,0.772849,0.419058,0.132306
22,0.559379,0.778534,0.413611,0.124469
23,0.551624,0.759380,0.424850,0.151875
24,0.539374,0.749554,0.441740,0.165547
25,0.520804,0.742908,0.467452,0.174668
26,0.510527,0.723008,0.481940,0.203172
27,0.515075,0.723141,0.475416,0.202124
28,0.503421,0.723370,0.491757,0.202009
29,0.483987,0.735082,0.518835,0.186034
30,0.487063,0.712050,0.514563,0.218131
31,0.475236,0.696320,0.531078,0.240015
32,0.460588,0.702723,0.551413,0.230922
33,0.466936,0.692866,0.541880,0.244875
34,0.451950,0.679943,0.562739,0.263017
35,0.454202,0.690891,0.559470,0.247799
36,0.443967,0.664685,0.573812,0.284590
37,0.440239,0.680987,0.578552,0.261132
38,0.431184,0.663396,0.590660,0.285810
39,0.430815,0.637815,0.590450,0.321697
40,0.414739,0.692920,0.613715,0.243962
41,0.416905,0.641345,0.609942,0.316240
42,0.400577,0.626049,0.632797,0.337984
43,0.389947,0.628293,0.647074,0.334770
44,0.388776,0.640865,0.648248,0.316456
45,0.397029,0.622626,0.635872,0.341812
46,0.386744,0.624730,0.650061,0.338852
47,0.381551,0.599064,0.657449,0.375128
48,0.367213,0.580942,0.676945,0.399596
49,0.361366,0.605954,0.683982,0.364514
50,0.358797,0.594232,0.687913,0.380699
51,0.350808,0.552174,0.697704,0.439014
52,0.334460,0.580688,0.719985,0.398206
53,0.340987,0.564215,0.710173,0.422109
54,0.342406,0.566896,0.708031,0.418459
55,0.338213,0.542052,0.713311,0.451775
56,0.333056,0.528707,0.720095,0.470249
57,0.314795,0.520825,0.743894,0.481573
58,0.315022,0.523771,0.743186,0.476911
59,0.314416,0.514762,0.744106,0.487972
60,0.309478,0.546710,0.750224,0.444238
61,0.308962,0.508721,0.750790,0.496992
62,0.299757,0.487479,0.761539,0.525439
63,0.288827,0.494366,0.776431,0.515827
64,0.281291,0.484169,0.785077,0.528421
65,0.284389,0.492496,0.780590,0.516409
66,0.272808,0.478603,0.795575,0.535530
67,0.279604,0.469359,0.786268,0.547514
68,0.276211,0.473578,0.790261,0.542536
69,0.269766,0.473961,0.797944,0.541667
70,0.267860,0.460076,0.799329,0.560275
71,0.257655,0.483223,0.811969,0.528905
72,0.262556,0.456672,0.804692,0.564668
73,0.261794,0.443653,0.805650,0.581602
74,0.256094,0.421452,0.812590,0.610785
75,0.241347,0.450719,0.830866,0.570789
76,0.244066,0.422247,0.826483,0.607317
77,0.243948,0.423442,0.825364,0.606466
78,0.232626,0.423187,0.839418,0.606179
79,0.227873,0.405348,0.844692,0.628637
80,0.224312,0.405726,0.848097,0.628800
81,0.224149,0.401270,0.846527,0.632925
82,0.223575,0.393682,0.847926,0.643707
83,0.217483,0.386168,0.854500,0.652550
84,0.219396,0.403635,0.851121,0.627011
85,0.226805,0.392408,0.839643,0.643951
86,0.212896,0.373585,0.858520,0.666583
87,0.205397,0.371645,0.866564,0.669680
88,0.203442,0.374961,0.867520,0.667189
89,0.202020,0.359660,0.868965,0.683905
90,0.200056,0.347440,0.869801,0.697151
91,0.195883,0.366269,0.874156,0.672958
92,0.197271,0.367682,0.871927,0.671303
93,0.194766,0.353430,0.873500,0.689321
94,0.185241,0.331762,0.883680,0.716386
95,0.188495,0.356166,0.879932,0.683458
96,0.187279,0.339263,0.879865,0.707022
97,0.182006,0.360948,0.885135,0.677299
98,0.188667,0.331938,0.876438,0.711763
99,0.174294,0.326901,0.892340,0.719350
100,0.172619,0.342632,0.893327,0.699137
