epoch,train_loss,val_loss,train_r,val_r
1,0.813717,0.752466,0.017479,0.043205
2,0.740494,0.744959,0.107364,0.043974
3,0.705486,0.708197,0.152826,0.089958
4,0.673832,0.704378,0.195069,0.092618
5,0.647966,0.686206,0.230320,0.117764
6,0.628836,0.681288,0.256701,0.123729
7,0.605270,0.659955,0.288890,0.151503
8,0.586304,0.660918,0.315099,0.149027
9,0.569310,0.653264,0.338655,0.159223
10,0.551705,0.651488,0.363309,0.160941
11,0.534588,0.641523,0.387452,0.175047
12,0.525001,0.646085,0.400676,0.168953
13,0.510334,0.615749,0.421191,0.210363
14,0.486448,0.625821,0.455023,0.196523
15,0.475503,0.627790,0.470112,0.192428
16,0.456622,0.621863,0.496569,0.201383
17,0.444383,0.604041,0.513893,0.225526
18,0.445717,0.608200,0.511822,0.220464
19,0.430132,0.614430,0.533702,0.212029
20,0.416158,0.599089,0.553344,0.233043
21,0.408713,0.595027,0.563644,0.239061
22,0.403198,0.581583,0.571374,0.257907
23,0.391517,0.575427,0.587603,0.266882
24,0.387867,0.572841,0.592557,0.270027
25,0.372803,0.564214,0.613751,0.282401
26,0.374052,0.577118,0.612125,0.265239
27,0.359751,0.570557,0.631647,0.274493
28,0.361306,0.572339,0.629651,0.271300
29,0.349435,0.572751,0.646116,0.270923
30,0.347924,0.550792,0.648137,0.302066
31,0.338322,0.566437,0.661524,0.280931
32,0.328452,0.550528,0.675480,0.302463
33,0.320053,0.547077,0.686897,0.306695
34,0.315133,0.550450,0.693482,0.301778
35,0.302902,0.528912,0.710456,0.332633
36,0.297635,0.536051,0.717750,0.323312
37,0.289222,0.542088,0.729241,0.315439
38,0.289867,0.530670,0.728020,0.330509
39,0.280836,0.522801,0.740336,0.341474
40,0.274779,0.523408,0.748759,0.340946
41,0.274194,0.522317,0.749183,0.344068
42,0.266024,0.512559,0.760346,0.356217
43,0.265016,0.518263,0.761399,0.348375
44,0.254369,0.516582,0.776710,0.351676
45,0.250567,0.511251,0.781534,0.358412
46,0.249809,0.504701,0.781678,0.367614
47,0.246932,0.503038,0.786085,0.370825
48,0.235680,0.493077,0.801470,0.384290
49,0.234594,0.491908,0.802523,0.386351
50,0.231949,0.490113,0.806143,0.388471
51,0.234148,0.486665,0.802501,0.393958
52,0.224154,0.499153,0.816176,0.375830
53,0.222962,0.478927,0.817637,0.404584
54,0.220138,0.465628,0.820837,0.423725
55,0.214276,0.479586,0.828678,0.404025
56,0.217768,0.472097,0.823881,0.414109
57,0.210284,0.469344,0.833593,0.419632
