epoch,train_loss,val_loss,train_r,val_r
145,0.103676,0.248364,0.927483,0.766958
146,0.102960,0.207538,0.927839,0.818146
147,0.099187,0.226498,0.929464,0.797814
148,0.097981,0.214213,0.933743,0.807150
149,0.095319,0.206535,0.934666,0.815093
150,0.094217,0.213724,0.936385,0.805003
151,0.090146,0.197551,0.939882,0.825527
152,0.093760,0.211676,0.936216,0.813655
153,0.088742,0.198502,0.941048,0.822231
154,0.087623,0.190624,0.941825,0.832035
155,0.084675,0.190600,0.944300,0.832682
156,0.086829,0.181513,0.943286,0.842043
157,0.083666,0.183788,0.945554,0.841923
158,0.078293,0.179525,0.950049,0.842135
159,0.079322,0.192107,0.947780,0.827968
160,0.081379,0.177235,0.946522,0.843406
161,0.077435,0.188224,0.950842,0.835295
162,0.080169,0.171557,0.946933,0.854451
163,0.077515,0.168375,0.948642,0.853770
164,0.077232,0.172104,0.950882,0.855520
165,0.086858,0.178041,0.940712,0.843362
166,0.081719,0.174074,0.946859,0.850701
167,0.083337,0.168105,0.945869,0.857568
168,0.081937,0.162910,0.947963,0.866531
169,0.074763,0.172450,0.953468,0.846693
170,0.073382,0.161437,0.952863,0.859737
171,0.077335,0.162084,0.950168,0.863039
172,0.073672,0.153245,0.953603,0.870157
173,0.071491,0.166885,0.955595,0.857083
174,0.076252,0.184301,0.949234,0.834284
175,0.081717,0.157100,0.945070,0.867813
176,0.076267,0.158688,0.951333,0.863796
177,0.076871,0.169048,0.950646,0.852506
178,0.075800,0.149995,0.950198,0.874695
179,0.070398,0.152667,0.956284,0.870746
180,0.070261,0.151673,0.956063,0.871399
181,0.072923,0.139526,0.952637,0.885275
182,0.063595,0.141381,0.962091,0.884254
183,0.066636,0.145783,0.959186,0.874977
184,0.066018,0.140832,0.959006,0.884486
185,0.063363,0.133066,0.961436,0.890892
186,0.062534,0.131275,0.961932,0.895204
187,0.064502,0.132761,0.960933,0.888599
188,0.065746,0.148811,0.958736,0.874273
189,0.063526,0.133507,0.960504,0.884336
190,0.063892,0.139457,0.959445,0.882879
191,0.061555,0.125695,0.963526,0.898324
192,0.061510,0.137820,0.961650,0.887127
193,0.060694,0.130993,0.964380,0.891177
194,0.058887,0.139186,0.964903,0.884507
195,0.062771,0.145927,0.961693,0.877005
196,0.062585,0.137584,0.961797,0.883848
197,0.061700,0.133853,0.961991,0.890397
198,0.063384,0.122860,0.961061,0.900856
199,0.061041,0.119472,0.962889,0.902504
200,0.060355,0.131967,0.963336,0.887840
